,Varsta,Sex,Micro,progn,T,Ghr muc/HPF,Ghr muc/5HPF,Ghr,Ghrelin rank,Hp_rk,Inflam,Distributie,mucoasa,HP,mono,neutro,Atrofie,Metaplazie,pleomorfism,AM,CD117,DOG1,CD34,GRPI,GRPP,Scor perif,GRCI,GRCC,Scor centru,Scor total (Allred dublu)
CD117,0.1053378774885652,-0.08510677611520905,0.08566731658741536,-0.010721317902511936,-0.05326816572438573,0.19748410789120244,0.11312290262314018,0.11312290262314018,-0.11312290262314018,0.02227486842029992,0.06620945694211845,0.0029710790855230853,-0.32393247648621654,-0.02227486842029992,-0.06620945694211845,0.007614589625750615,0.011717051636903222,0.0038014057222458624,0.05976758633753355,0.009250935259013151,1.0,-0.07445291969126748,0.14010117465793875,0.2206119111788156,0.22216601740807723,0.19264479187574876,0.26979345976968144,0.35606545188516414,0.34585039912023824,0.2679396334251044
DOG1,0.040193901732161676,-0.009278370237815069,0.013526144251242314,-0.18818352894894852,0.04706980735829596,-0.16075573478136992,-0.1686424758333453,-0.1686424758333453,0.1686424758333453,0.25255504327796136,-0.16000294455918282,-0.0906942601458504,0.11236664374387367,-0.25255504327796136,0.16000294455918282,0.10459829531433028,-0.06253917680993663,0.10443650357739716,0.2345717874020149,0.17884778999621995,-0.07445291969126748,1.0,0.3125270551058903,-0.07672024220619521,0.08073538746913149,0.028586330497914994,-0.0823563342531913,0.18655997076030337,0.1484623760099861,0.11337288829165332
CD34,-0.13963300967469305,0.14101901870444156,0.15989524000354138,-0.06513780996561758,-0.00929089785984619,0.06399055244521278,0.06393329019441968,0.06393329019441968,-0.06393329019441968,0.14411966822444805,0.13103868593213133,-0.2002010435343135,-0.02439750182371333,-0.14411966822444805,-0.13103868593213133,-0.2481365893004777,-0.06469659466805007,0.15117118399772497,-0.018863399513554237,0.10218988991416098,0.14010117465793875,0.3125270551058903,1.0,0.21901935924046445,0.32137590942272,0.3103390059624246,0.17881541605144965,0.2876559782463276,0.3342863350613964,0.32528261564666766
GRPI,0.07941012527129017,0.3079889259590849,0.16583946485880277,-0.18443046758651963,-0.12770065408044773,0.03765206613141205,0.034344363165917186,0.034344363165917186,-0.034344363165917186,-0.09452951318636547,-0.10533241326094478,-0.011721180920284204,-0.11168720311665732,0.09452951318636547,0.10533241326094478,-0.19393497871167195,-0.01861105352740196,0.09253605264012602,-0.10307119396288586,-0.08650001717160141,0.2206119111788156,-0.07672024220619521,0.21901935924046445,1.0,0.7925646272890315,0.9213652536205761,0.7446102614320133,0.6224604697808812,0.7275001817242968,0.8859949843570675
GRPP,0.06484214680064093,0.34443287690349994,0.15932999938954218,-0.27346377410627204,-0.1417969955566252,0.054654335471385464,0.031256258490103626,0.031256258490103626,-0.031256258490103626,-0.20261241837091143,-0.14011339338081616,-0.04366918018398674,-0.05189163706165011,0.20261241837091143,0.14011339338081616,-0.026297138659246964,0.11075557021212397,0.24078878725250383,0.08087941593810027,0.0050157726902137715,0.22216601740807723,0.08073538746913149,0.32137590942272,0.7925646272890315,1.0,0.9445304771863993,0.6033278374406003,0.7777027272748176,0.7811506927108396,0.9299314216561771
Scor perif,0.0829932057842816,0.33677210748493924,0.15822595240104628,-0.24267351883305271,-0.12325600416595028,0.033469474924371155,0.0222407344700901,0.0222407344700901,-0.0222407344700901,-0.10961890372958424,-0.09602043837903429,-0.013710269211844078,-0.07874356322495141,0.10961890372958424,0.09602043837903429,-0.12784094225817494,-0.003931345700338856,0.14817671076668865,-0.024570036090287288,-0.04735883989068633,0.19264479187574876,0.028586330497914994,0.3103390059624246,0.9213652536205761,0.9445304771863993,1.0,0.6685282517519444,0.7166700324415238,0.7623110453936098,0.9533149605803581
GRCI,-0.004332831158417556,0.2972877835884011,0.1304433598666938,0.02662941835668963,-0.10077117508479756,0.17422493433949585,0.17213788761464116,0.17213788761464116,-0.17213788761464116,-0.08687025451723254,0.04647192697965727,-0.0675719000289037,-0.14144168708218702,0.08687025451723254,-0.04647192697965727,-0.06625566950913685,-0.061976316609346625,-0.010151507059394776,-0.0892228868574189,-0.01974780114324835,0.26979345976968144,-0.0823563342531913,0.17881541605144965,0.7446102614320133,0.6033278374406003,0.6685282517519444,1.0,0.5802210795256001,0.8211956863414244,0.7626621049882384
GRCC,0.06785854309452888,0.2086198137090684,0.2825454491397428,-0.14337034857724032,-0.09700975798254363,0.02778239370063726,-0.0561069764537909,-0.0561069764537909,0.0561069764537909,-0.06515281262651341,-0.006533709904362938,-0.18063052524601272,-0.04611885909683909,0.06515281262651341,0.006533709904362938,-0.021956673132094047,0.23567289500529698,0.38335483504035006,0.1090626394747652,0.12598085464346787,0.35606545188516414,0.18655997076030337,0.2876559782463276,0.6224604697808812,0.7777027272748176,0.7166700324415238,0.5802210795256001,1.0,0.863739362123205,0.819082520385188
Scor centru,-0.03278834164246534,0.30809834862175695,0.24035071885621706,-0.10728117916987881,-0.13000558229278641,0.07612676765865072,0.03452891434029411,0.03452891434029411,-0.03452891434029411,-0.0737985333723397,0.009367684022371196,-0.11770216494656367,-0.09990795549896006,0.0737985333723397,-0.009367684022371196,-0.039655821910051334,0.09398369555824318,0.154258273361147,0.07656035394496319,0.08540170944933105,0.34585039912023824,0.1484623760099861,0.3342863350613964,0.7275001817242968,0.7811506927108396,0.7623110453936098,0.8211956863414244,0.863739362123205,1.0,0.9096386610878577
Scor total (Allred dublu),0.0467322701546347,0.3289490456490563,0.2060888019734358,-0.20537227700321906,-0.13924462415209196,0.04622841008430342,0.01803938355240539,0.01803938355240539,-0.01803938355240539,-0.08257778819277534,-0.07521071224540679,-0.020408071118920446,-0.07607200480903939,0.08257778819277534,0.07521071224540679,-0.06432212006687558,0.03669355285503823,0.14691656278165627,0.006460397880900438,0.010062017850268676,0.2679396334251044,0.11337288829165332,0.32528261564666766,0.8859949843570675,0.9299314216561771,0.9533149605803581,0.7626621049882384,0.819082520385188,0.9096386610878577,1.0
